order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original,generated_problem_english
1,264268,79616,49360,88045,1,1,1,39998,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,39998,46303,,2x5x3,0,,10,10.0,Find the prime factorization of 30.
2,270581,79616,49322,88007,1,0,2,3343,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,10234,46303,,4x5,0,,4,4.0,Find the prime factorization of 20.
3,265362,79616,49354,88039,1,1,1,53726,tutor,fill_in_1,6929,12351,59,MasterySection,6929,84.0,Prime Number,42999,2770,0,4,53726,46303,,5x2x2,0,,1,1.0,Find the prime factorization of 20.
4,264268,79616,49361,88046,1,1,1,20758,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,20758,46303,,2x3x7,0,,10,10.0,Find the prime factorization of 42.
5,277537,79616,49348,88033,1,1,1,36669,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,36669,46303,,2x2x2,0,,4,4.0,Find the prime factorization of 8.
6,264268,79616,52147,91471,1,1,1,101248,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,101248,46303,,3x3x2,0,,1,1.0,Find the prime factorization of 18.
7,264268,79616,49369,88054,1,1,1,18504,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,18504,46303,,2x3x3,0,,6,6.0,Find the prime factorization of 18.
8,274903,79616,49342,88027,1,1,1,12810,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,12810,46303,,5x2x2,0,,4,4.0,Find the prime factorization of 20.
9,274496,79616,49320,88005,1,1,1,49238,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,49238,46303,,2 x 3 x 5,0,,1,1.0,Find the prime factorization of 30.
10,276006,79616,49372,88057,1,1,2,21186,tutor,fill_in_1,6928,13146,23,MasterySection,6928,84.0,Prime Number,59882,5260,0,4,36767,46303,,10x2,0,,1,1.0,Find the prime factorization of 20.
11,277537,79616,49365,88050,1,1,1,32086,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,32086,46303,,2x2x3,0,,2,2.0,Find the prime factorization of 12.
12,274496,79616,49394,88079,1,0,1,25472,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,25472,46303,,2x2x2,0,,1,1.0,Find the prime factorization of 8.
13,277537,79616,49295,87980,1,1,1,6374,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,6374,46303,,3x2x2,0,,5,5.0,Find the prime factorization of 12.
14,274903,79616,49340,88025,1,1,1,8038,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,8038,46303,,5x2x3,0,,6,6.0,Find the prime factorization of 30.
15,270581,79616,49357,88042,1,1,1,29964,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,29964,46303,,7x2x2,0,,5,5.0,Find the prime factorization of 28.
16,274496,79616,49274,87959,1,0,1,45212,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,45212,46303,,5 x 2 x 2,0,,1,1.0,Find the prime factorization of 20.
1,270581,83205,49343,88028,1,1,1,12215,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,12215,46303,,3x5x2,0,,4,4.0,Find the prime factorization of 30.
2,277537,83205,49299,87984,1,0,1,18215,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,18215,46303,,3x3x2,0,,2,2.0,Find the prime factorization of 18.
3,277537,83205,49341,88026,1,1,1,16189,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,16189,46303,,7x3x2,0,,5,5.0,Find the prime factorization of 42.
4,274903,83205,49369,88054,1,1,1,12344,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,12344,46303,,3x3x2,0,,6,6.0,Find the prime factorization of 18.
5,274903,83205,49390,88075,1,1,1,50421,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,50421,46303,,5x2x3,0,,2,2.0,Find the prime factorization of 30.
6,270581,83205,49337,88022,1,0,1,181193,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,181193,46303,,7x2x2,0,,1,1.0,Find the prime factorization of 28.
7,264268,83205,49301,87986,1,1,1,14201,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,14201,46303,,2 x 3 x 7,0,,7,7.0,Find the prime factorization of 42.
8,264268,83205,49298,87983,1,1,1,44676,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,44676,46303,,2 x 2 x 3,0,,1,1.0,Find the prime factorization of 12.
9,270581,83205,49354,88039,1,1,1,7109,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,7109,46303,,5x2x2,0,,2,2.0,Find the prime factorization of 20.
10,274903,83205,49339,88024,1,1,1,52556,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,52556,46303,,3x2x3,0,,1,1.0,Find the prime factorization of 18.
11,264268,83205,49371,88056,1,0,1,8902,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,8902,46303,,7x6,0,,15,15.0,Find the prime factorization of 42.
12,264268,83205,49298,87983,1,1,1,29757,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,29757,46303,,2x2x3,0,,7,7.0,Find the prime factorization of 12.
13,277537,83205,49321,88006,1,1,1,13324,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,13324,46303,,7x3x2,0,,6,6.0,Find the prime factorization of 42.
14,264268,83205,52147,91471,1,1,3,45129,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,1,4,59370,46303,,13x3x5,0,0.0,5,5.0,Find the prime factorization of 195.
15,276006,83205,49318,88003,1,0,1,24305,tutor,fill_in_1,6928,13146,23,MasterySection,6928,84.0,Prime Number,59882,5260,0,8,24305,46303,,2x2x3,0,,4,4.0,Find the prime factorization of 12.
16,264268,83205,49342,88027,1,1,1,44184,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,44184,46303,,2x2x5,0,,10,10.0,Find the prime factorization of 20.
17,277537,83205,52142,91466,1,1,1,18174,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,18174,46303,,2x2x2,0,,5,5.0,Find the prime factorization of 8.
18,277537,83205,49391,88076,1,1,7,38462,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,4,4,102740,46303,,3*2*7,0,1.0,2,2.0,Find the prime factorization of 42.
19,264268,83205,49271,87956,1,1,1,9417,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,9417,46303,,2 x 2 x 3,0,,6,6.0,Find the prime factorization of 12.
1,277537,79623,49390,88075,1,0,1,6784,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,6784,46303,,5x3x2,0,,6,6.0,Find the prime factorization of 30.
2,274496,79623,49340,88025,1,0,2,79556,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,1,4,155395,46303,,10x3,0,0.0,1,1.0,Find the prime factorization of 30.
3,274903,79623,49400,88085,1,1,1,22526,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,22526,46303,,2x5x3,0,,4,4.0,Find the prime factorization of 30.
4,270581,79623,49374,88059,1,0,1,53353,tutor,fill_in_1,6928,11816,155,MasterySection,6928,84.0,Prime Number,22763,73,0,4,53353,46303,,2x2x2,0,,1,1.0,Find the prime factorization of 8.
5,274496,79623,49393,88078,1,0,1,8603,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,8603,46303,,2 x 5 x 3,0,,4,4.0,Find the prime factorization of 30.
6,274903,79623,49280,87965,1,0,1,114589,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,114589,46303,,5x2x3,0,,4,4.0,Find the prime factorization of 30.
7,277537,79623,52150,91474,1,0,2,7745,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,9869,46303,,2 x 2 x5,0,,7,7.0,Find the prime factorization of 20.
8,274903,79623,49316,88001,1,1,1,9448,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,9448,46303,,2x2x5,0,,4,4.0,Find the prime factorization of 20.
9,264268,79623,49283,87968,1,1,1,57133,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,57133,46303,,2 x3 x 5,0,,1,1.0,Find the prime factorization of 30.
10,276996,79623,49362,88047,1,0,2,8187,tutor,fill_in_1,8120,12309,57,MasterySection,6928,84.0,Prime Number,35135,1357,0,4,19437,46303,,2x2x2,0,,3,3.0,Find the prime factorization of 8.
11,274903,79623,49391,88076,1,0,2,31232,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,4,4,53009,46303,,3x2x7,0,1.0,2,2.0,Find the prime factorization of 42.
12,277537,79623,49382,88067,1,0,1,39468,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,39468,46303,,5x2x2,0,,6,6.0,Find the prime factorization of 20.
13,274496,79623,52142,91466,1,0,1,16797,tutor,fill_in_1,6928,12437,17,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,16797,46303,,2x2x2,0,,5,5.0,Find the prime factorization of 8.
14,277537,79623,49321,88006,1,0,1,77407,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,77407,46303,,7 x 3 x 2,0,,5,5.0,Find the prime factorization of 42.
15,277537,79623,49402,88087,1,0,1,23937,tutor,fill_in_1,6928,13241,45,MasterySection,6928,84.0,Prime Number,22763,73,0,4,23937,46303,,2x2x5,0,,3,3.0,Find the prime factorization of 20.
16,274903,79623,49316,88001,1,0,1,22453,tutor,fill_in_1,6928,12436,12,MasterySection,6928,84.0,Prime Number,43007,2770,0,4,22453,46303,,5 x 2 x 2,0,,8,8.0,Find the prime factorization of 20.
17,264268,79623,49384,88069,1,0,1,13237,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,13237,46303,,2x2x2,0,,9,9.0,Find the prime factorization of 8.
18,264268,79623,49388,88073,1,1,1,15918,tutor,fill_in_1,7750,12237,12,MasterySection,6928,84.0,Prime Number,48181,139,0,4,15918,46303,,2x2x3,0,,10,10.0,Find the prime factorization of 12.
19,276996,79623,49403,88088,1,1,4,9938,tutor,fill_in_1,8120,12309,57,MasterySection,6928,84.0,Prime Number,35135,1357,4,4,95388,46303,,5 x 6,0,1.0,2,2.0,Find the prime factorization of 30.
